date,symbol,qty,price,side,fee,slip
2014-01-31,KEP,5965.0,16.3275,LONG,29.824547872438956,0.017527969362446775
2014-01-31,MU,4223.0,23.0428,LONG,21.112776727407958,0.0028303106558437213
2014-01-31,AGX,3399.0,26.5275,LONG,16.994023791168342,0.04084821777744387
2014-01-31,ILMN,397.0,147.7366,LONG,1.9854050162487074,0.017795071454023845
2014-01-31,CGNX,5065.0,19.212,LONG,25.325186170180118,0.004275271356791054
2014-01-31,UI,438.0,41.2122,LONG,2.1891641054566473,0.012243543838781033
2014-01-31,GSAT,260.0,30.459500000000002,LONG,1.3004636647701844,0.00952419655576685
2014-01-31,NOW,884.0,12.6873,LONG,4.421039510825112,0.0012744015272642022
2014-01-31,POST,369.0,35.0306,LONG,1.8452656231828364,0.004874472837293432
2014-01-31,OZK,423.0,31.704800000000002,LONG,2.1140441752160566,0.004785580508158361
2014-01-31,RIOT,336.0,17.931900000000002,LONG,1.6780647031959246,0.02510381818533571
2014-01-31,STZ,86.0,76.67530000000001,LONG,1.0,0.005278401148139127
2014-02-28,AFL,3366.0,32.0431,LONG,16.830177071691303,0.003058410079581231
2014-02-28,AG,121.0,11.0114,LONG,1.0,0.0014296269963179542
2014-02-28,AGX,3399.0,26.615000000000002,SHORT,16.995,0.03944428644787807
2014-02-28,AXON,2062.0,19.2346,LONG,10.310045256984015,0.004595755757377806
2014-02-28,CGNX,5065.0,18.323700000000002,SHORT,25.325,0.01247017879434425
2014-02-28,CRUS,1489.0,19.253,LONG,7.44543955704758,0.0030275800095381188
2014-02-28,DXCM,7248.0,11.2786,LONG,36.24173917190687,0.0035536564471854016
2014-02-28,GSAT,260.0,34.03,SHORT,1.3,0.02002322209120132
2014-02-28,ILMN,397.0,166.6459,SHORT,1.985,0.013933434131554696
2014-02-28,KEP,5965.0,17.2983,SHORT,29.825,0.011743529754641083
2014-02-28,MPLX,2250.0,47.9718,LONG,11.250113903927433,0.03991030984728533
2014-02-28,MU,4223.0,24.1884,SHORT,21.115000000000002,0.0016003820820532455
2014-02-28,NOW,884.0,13.6104,SHORT,4.42,0.0015571768176246652
2014-02-28,OZK,423.0,31.703100000000003,SHORT,2.115,0.006916752446755162
2014-02-28,PNFP,116.0,36.0861,LONG,1.0,0.006133921922512175
2014-02-28,POST,369.0,37.369,SHORT,1.845,0.005776593100127319
2014-02-28,PPC,1845.0,11.2286,LONG,9.227104112541802,0.0036239212737653767
2014-02-28,QXO,306.0,11.652700000000001,LONG,1.5277069351038792,0.8981891397035344
2014-02-28,RIOT,430.0,18.4911,LONG,2.1497173661983986,0.01350100593072047
2014-02-28,STZ,86.0,81.0261,SHORT,1.0,0.0038687262912997103
2014-02-28,UI,438.0,49.4031,SHORT,2.19,0.006877320415011451
2014-02-28,UMBF,1730.0,62.365,LONG,8.649965886701786,0.024996041061290736
2014-02-28,YPF,378.0,26.9161,LONG,1.8886079155478632,0.006071094572914424
2014-03-31,AFL,3366.0,31.517400000000002,SHORT,16.830000000000002,0.0025829979021612277
2014-03-31,AG,121.0,9.6387,SHORT,1.0,0.0012779068656168973
2014-03-31,ATI,1454.0,37.687000000000005,LONG,7.271777838360194,0.007018297587933462
2014-03-31,AVAV,1528.0,40.282900000000005,LONG,7.64144611666071,0.03293952415023174
2014-03-31,AXON,2062.0,18.2846,SHORT,10.31,0.005388876903360894
2014-03-31,CRK,546.0,114.28030000000001,LONG,2.7283347052297096,0.030319230971006486
2014-03-31,CRUS,1489.0,19.8657,SHORT,7.445,0.004291649207924922
2014-03-31,DXCM,2251.0,10.3374,SHORT,11.253502133720383,0.0025811711055503893
2014-03-31,GSAT,310.0,39.772400000000005,LONG,1.5508968964414986,0.02236461095168958
2014-03-31,IESC,4313.0,6.2401,LONG,21.566798844094627,0.030065753525410386
2014-03-31,INCY,409.0,53.5279,LONG,2.0462401850752,0.007893216189844201
2014-03-31,MMYT,1646.0,27.114600000000003,LONG,8.23115428791208,0.034579330102905405
2014-03-31,MPLX,2250.0,48.0743,SHORT,11.25,0.034274334076642946
2014-03-31,PNFP,116.0,37.482800000000005,SHORT,1.0,0.007187508432828907
2014-03-31,PPC,1845.0,13.3926,SHORT,9.225,0.0030590158474444297
2014-03-31,QXO,306.0,17.0396,SHORT,1.53,0.5708298904264275
2014-03-31,RIOT,766.0,18.733,SHORT,3.83,0.029973648375857493
2014-03-31,STM,2049.0,9.2432,LONG,10.24515668508044,0.003225334893139915
2014-03-31,TSLA,1583.0,13.897300000000001,LONG,7.91268240739443,0.0006118702128763927
2014-03-31,UMBF,1730.0,64.673,SHORT,8.65,0.027002387625341163
2014-03-31,VICR,5407.0,10.2232,LONG,27.03297480873329,0.02315966666311194
2014-03-31,XPO,3679.0,10.17,LONG,18.397036268237482,0.004045564960972421
2014-03-31,YPF,378.0,31.156000000000002,SHORT,1.8900000000000001,0.003955705327290363
2014-04-30,ALKS,149.0,46.2659,LONG,1.0,0.005915030243114542
2014-04-30,ATI,158.0,41.1967,SHORT,1.0,0.0033150635098831817
2014-04-30,AVAV,264.0,33.7791,LONG,1.3199541088996498,0.009144128634378445
2014-04-30,CRK,26.0,138.98600000000002,SHORT,1.0,0.014007681300861236
2014-04-30,DXCM,962.0,8.111600000000001,LONG,4.809703056699109,0.0015615836402286256
2014-04-30,GSAT,310.0,39.419000000000004,SHORT,1.55,0.030953816253376877
2014-04-30,IESC,2232.0,6.2404,LONG,11.158469497569651,0.030407693080555936
2014-04-30,INCY,127.0,48.5655,LONG,1.0,0.005543542306046958
2014-04-30,MMYT,1646.0,21.1569,SHORT,8.23,0.03313778531152673
2014-04-30,ONTO,4444.0,16.2693,LONG,22.221971111707596,0.00927611574157497
2014-04-30,STM,2049.0,9.4884,SHORT,10.245000000000001,0.0015565325298332862
2014-04-30,TSLA,638.0,13.858600000000001,SHORT,3.187729300148407,0.0007496578169626403
2014-04-30,VICR,377.0,8.347900000000001,SHORT,1.8867450103748251,0.012072931639573604
2014-04-30,XPO,1413.0,9.3788,SHORT,7.0644394343987384,0.0024516319468304263
2014-05-30,ALKS,149.0,45.805600000000005,SHORT,1.0,0.004414060767874899
2014-05-30,ATI,1296.0,41.0627,SHORT,6.48,0.007298720483544855
2014-05-30,AVAV,927.0,32.1027,SHORT,4.637149789022352,0.017324277452079064
2014-05-30,CRK,520.0,135.9062,SHORT,2.6,0.04375054737489322
2014-05-30,DXCM,3117.0,8.4419,LONG,15.58593309494951,0.0019460526982479178
2014-05-30,EA,2181.0,35.1423,LONG,10.902791782561168,0.012318842941012908
2014-05-30,GSAT,161.0,51.9074,LONG,1.0,0.00737331401613486
2014-05-30,IESC,4650.0,6.701700000000001,SHORT,23.247900881652594,0.05828173676472261
2014-05-30,INCY,536.0,49.5415,SHORT,2.68,0.008512930085812921
2014-05-30,MMYT,1373.0,25.6587,LONG,6.862619910585259,0.048713722571480565
2014-05-30,ONTO,4444.0,17.133200000000002,SHORT,22.22,0.02676116120663938
2014-05-30,PODD,1427.0,36.650400000000005,LONG,7.1365964391087635,0.0203703803659778
